,name,balls_x,runs,wickets,balls/wicket,runs/wicket,balls_y,0s,total wickets,dot_balls_perc
3,Blessing Muzarabani,22.285714285714285,28.428571428571427,1.7142857142857142,13.0,16.583333333333332,156.0,71,12,45.51282051282051
8,Josh Little,23.142857142857142,27.0,1.5714285714285714,14.727272727272727,17.181818181818183,162.0,68,11,41.9753086419753
15,Taskin Ahmed,21.6,26.2,1.6,13.5,16.375,108.0,64,8,59.25925925925925
